Executing COFGA_resnet152_dropOut_weightDecay_batchNorm_200epochs
Total number of images:  11617
Number of train images:  8132
Number of validation images:  3485

Dataloader completed
USING CUDA!
Network constructed
[119], Train loss: 2.950, Val loss: 7.591, Train mAP: 66.042 %, Val mAP: 50.988 %
[120], Train loss: 2.976, Val loss: 6.740, Train mAP: 65.119 %, Val mAP: 51.440 %
[121], Train loss: 2.966, Val loss: 6.134, Train mAP: 66.430 %, Val mAP: 54.733 %
[122], Train loss: 2.943, Val loss: 4.246, Train mAP: 63.942 %, Val mAP: 52.422 %
[123], Train loss: 2.882, Val loss: 4.332, Train mAP: 65.282 %, Val mAP: 50.438 %
[124], Train loss: 2.883, Val loss: 4.050, Train mAP: 66.628 %, Val mAP: 54.557 %
[125], Train loss: 2.890, Val loss: 7.205, Train mAP: 67.423 %, Val mAP: 46.569 %
[126], Train loss: 2.922, Val loss: 4.727, Train mAP: 67.597 %, Val mAP: 52.520 %
[127], Train loss: 2.898, Val loss: 6.421, Train mAP: 66.093 %, Val mAP: 53.986 %
[128], Train loss: 2.852, Val loss: 4.634, Train mAP: 67.312 %, Val mAP: 48.935 %
[129], Train loss: 2.755, Val loss: 6.787, Train mAP: 71.090 %, Val mAP: 53.624 %
[130], Train loss: 2.856, Val loss: 4.509, Train mAP: 67.518 %, Val mAP: 51.596 %
[131], Train loss: 2.780, Val loss: 4.444, Train mAP: 68.569 %, Val mAP: 53.905 %
[132], Train loss: 2.812, Val loss: 4.419, Train mAP: 69.301 %, Val mAP: 52.220 %
[133], Train loss: 2.799, Val loss: 7.291, Train mAP: 67.372 %, Val mAP: 53.460 %
[134], Train loss: 2.810, Val loss: 4.547, Train mAP: 69.556 %, Val mAP: 54.288 %
[135], Train loss: 2.752, Val loss: 8.448, Train mAP: 67.944 %, Val mAP: 49.110 %
[136], Train loss: 2.748, Val loss: 4.991, Train mAP: 67.052 %, Val mAP: 53.214 %
[137], Train loss: 2.774, Val loss: 4.295, Train mAP: 68.652 %, Val mAP: 55.374 %
[138], Train loss: 2.705, Val loss: 8.009, Train mAP: 71.675 %, Val mAP: 49.423 %
